Date,Close,Open
2000-05-24,31.453125,31.375
2000-05-25,30.875,31.5
2000-05-26,30.890625,30.9375
2000-05-30,31.328125,31.09375
2000-05-31,32.265625,31.3125
2000-06-01,31.96875,32.15625
2000-06-02,30.875,31.875
2000-06-05,30.4375,30.6875
2000-06-06,31.625,30.59375
2000-06-07,31.21875,31.5
2000-06-08,31.375,31.15625
2000-06-09,31.171875,31.359375
2000-06-12,31.875,31.125
2000-06-13,31.875,31.9375
2000-06-14,31.828125,32.0625
2000-06-15,31.375,31.96875
2000-06-16,31.75,31.375
2000-06-19,31.484375,31.8125
2000-06-20,31.3125,31.375
2000-06-21,31.875,31.125
2000-06-22,31.03125,32.015625
2000-06-23,31.421875,31.25
2000-06-26,31.171875,31.6875
2000-06-27,30.953125,31.21875
2000-06-28,30.6875,30.765625
2000-06-29,30.75,30.625
2000-06-30,30.34375,30.59375
2000-07-03,30.53125,30.1875
2000-07-05,29.265625,30.0
2000-07-06,29.5625,29.6875
2000-07-07,29.703125,29.8125
2000-07-10,29.84375,29.6875
2000-07-11,30.90625,30.0
2000-07-12,30.5,31.0
2000-07-13,30.03125,30.21875
2000-07-14,30.0,30.1875
2000-07-17,29.609375,30.0625
2000-07-18,29.875,29.625
2000-07-19,29.796875,30.0
2000-07-20,29.5,29.75
2000-07-21,28.9375,29.5625
2000-07-24,28.640625,29.25
2000-07-25,28.375,28.71875
2000-07-26,28.609375,28.65625
2000-07-27,29.59375,28.515625
2000-07-28,29.375,29.625
2000-07-31,29.1875,29.625
2000-08-01,29.734375,29.4375
2000-08-02,30.296875,30.0
2000-08-03,29.875,30.5
2000-08-04,30.0,29.875
2000-08-07,30.390625,30.03125
2000-08-08,30.453125,30.375
2000-08-09,31.0,30.75
2000-08-10,31.28125,31.03125
2000-08-11,31.25,31.5
2000-08-14,31.6875,31.3125
2000-08-15,31.5625,31.6875
2000-08-16,32.0,31.625
2000-08-17,32.75,32.375
2000-08-18,32.375,32.8125
2000-08-21,32.5,32.4375
2000-08-22,32.40625,32.5
2000-08-23,33.25,32.75
2000-08-24,32.53125,33.375
2000-08-25,32.625,32.5625
2000-08-28,32.75,32.40625
2000-08-29,32.78125,32.75
2000-08-30,32.5,32.625
2000-08-31,32.375,32.5
2000-09-01,32.703125,32.28125
2000-09-05,32.703125,32.875
2000-09-06,33.421875,32.875
2000-09-07,33.265625,33.3125
2000-09-08,32.875,33.1875
2000-09-11,33.921875,32.875
2000-09-12,33.875,34.0625
2000-09-13,33.3125,33.9375
2000-09-14,33.21875,33.3125
2000-09-15,33.9375,33.5
2000-09-18,34.0,34.375
2000-09-19,33.09375,34.0625
2000-09-20,32.4375,33.4375
2000-09-21,32.1875,32.3125
2000-09-22,31.984375,32.015625
2000-09-25,31.5,31.875
2000-09-26,32.25,31.6875
2000-09-27,32.859375,32.3125
2000-09-28,32.734375,32.921875
2000-09-29,32.765625,33.0
2000-10-02,33.4375,32.9375
2000-10-03,33.421875,33.359375
2000-10-04,32.4375,33.3125
2000-10-05,32.390625,32.421875
2000-10-06,32.25,32.625
2000-10-09,32.75,32.375
2000-10-10,33.484375,32.9375
2000-10-11,33.796875,33.6875
2000-10-12,34.3125,34.0
2000-10-13,33.0,34.3125
2000-10-16,32.6875,32.890625
2000-10-17,32.703125,33.0
2000-10-18,32.265625,32.875
2000-10-19,32.421875,32.3125
2000-10-20,33.0625,32.1875
2000-10-23,32.53125,33.125
2000-10-24,31.984375,32.5625
2000-10-25,31.203125,32.125
2000-10-26,31.34375,31.625
2000-10-27,31.125,31.6875
2000-10-30,31.65625,31.3125
2000-10-31,31.875,31.9375
2000-11-01,32.90625,32.125
2000-11-02,31.75,32.734375
2000-11-03,31.625,31.75
2000-11-06,31.75,31.625
2000-11-07,32.0,31.875
2000-11-08,32.3125,32.125
2000-11-09,31.96875,32.453125
2000-11-10,32.0625,32.375
2000-11-13,31.8125,32.265625
2000-11-14,32.0,31.5625
2000-11-15,32.625,32.21875
2000-11-16,32.75,32.5625
2000-11-17,32.484375,32.5
2000-11-20,32.328125,32.5625
2000-11-21,33.0625,32.375
2000-11-22,32.53125,32.875
2000-11-24,33.0,32.765625
2000-11-27,32.734375,32.8125
2000-11-28,32.703125,32.859375
2000-11-29,31.265625,32.84375
2000-11-30,30.203125,31.4375
2000-12-01,30.875,30.25
2000-12-04,31.40625,31.125
2000-12-05,30.75,31.3125
2000-12-06,30.5,30.75
2000-12-07,31.0,31.0
2000-12-08,30.984375,30.6875
2000-12-11,31.078125,30.8125
2000-12-12,31.4375,31.125
2000-12-13,31.5,31.6875
2000-12-14,30.53125,31.4375
2000-12-15,30.796875,30.5
2000-12-18,31.75,30.9375
2000-12-19,32.296875,31.6875
2000-12-20,31.34375,31.625
2000-12-21,31.578125,31.625
2000-12-22,32.0,31.6875
2000-12-26,33.34375,32.0625
2000-12-27,33.3125,33.5625
2000-12-28,33.859375,33.5625
2000-12-29,33.1875,33.828125
2001-01-02,33.265625,33.75
2001-01-03,32.25,33.5625
2001-01-04,31.25,31.875
2001-01-05,31.921875,31.25
2001-01-08,31.8125,32.3125
2001-01-09,31.171875,32.0
2001-01-10,31.375,31.375
2001-01-11,31.71875,31.4375
2001-01-12,31.515625,31.375
2001-01-16,31.5,31.8125
2001-01-17,31.34375,31.875
2001-01-18,30.75,31.0625
2001-01-19,30.609375,30.3125
2001-01-22,30.9375,30.8125
2001-01-23,31.421875,31.0625
2001-01-24,31.390625,31.6875
2001-01-25,32.328125,31.6875
2001-01-26,31.78125,32.4375
2001-01-29,31.520000457763672,31.899999618530273
2001-01-30,31.790000915527344,31.770000457763672
2001-01-31,32.130001068115234,32.0
2001-02-01,31.719999313354492,32.130001068115234
2001-02-02,32.25,31.940000534057617
2001-02-05,32.900001525878906,32.5
2001-02-06,33.11000061035156,32.93000030517578
2001-02-07,33.20000076293945,33.13999938964844
2001-02-08,33.380001068115234,33.290000915527344
2001-02-09,33.91999816894531,33.45000076293945
2001-02-12,33.470001220703125,33.599998474121094
2001-02-13,33.400001525878906,33.400001525878906
2001-02-14,33.15999984741211,33.470001220703125
2001-02-15,32.72999954223633,32.599998474121094
2001-02-16,33.02000045776367,33.11000061035156
2001-02-20,32.83000183105469,33.04999923706055
2001-02-21,32.61000061035156,32.97999954223633
2001-02-22,32.45000076293945,32.75
2001-02-23,32.040000915527344,32.36000061035156
2001-02-26,32.38999938964844,31.950000762939453
2001-02-27,32.189998626708984,32.5
2001-02-28,31.739999771118164,32.33000183105469
2001-03-01,32.099998474121094,31.850000381469727
2001-03-02,32.83000183105469,32.400001525878906
2001-03-05,33.0099983215332,32.63999938964844
2001-03-06,33.18000030517578,33.099998474121094
2001-03-07,33.88999938964844,33.400001525878906
2001-03-08,34.22999954223633,33.9900016784668
2001-03-09,34.06999969482422,34.34000015258789
2001-03-12,32.939998626708984,33.54999923706055
2001-03-13,32.54999923706055,32.599998474121094
2001-03-14,32.060001373291016,31.899999618530273
2001-03-15,32.08000183105469,32.29999923706055
2001-03-16,31.450000762939453,32.040000915527344
2001-03-19,31.850000381469727,31.549999237060547
2001-03-20,32.130001068115234,31.959999084472656
2001-03-21,31.209999084472656,32.060001373291016
2001-03-22,30.290000915527344,30.90999984741211
2001-03-23,30.530000686645508,30.31999969482422
2001-03-26,30.93000030517578,31.149999618530273
2001-03-27,31.100000381469727,31.100000381469727
2001-03-28,30.649999618530273,30.899999618530273
2001-03-29,30.0,30.049999237060547
2001-03-30,30.700000762939453,30.639999389648438
2001-04-02,30.1299991607666,30.5
2001-04-03,29.299999237060547,29.979999542236328
2001-04-04,29.81999969482422,29.520000457763672
2001-04-05,30.600000381469727,30.149999618530273
2001-04-06,30.639999389648438,30.209999084472656
2001-04-09,31.360000610351562,30.899999618530273
2001-04-10,31.899999618530273,31.760000228881836
2001-04-11,31.329999923706055,31.600000381469727
2001-04-12,31.65999984741211,31.75
2001-04-16,32.279998779296875,31.950000762939453
2001-04-17,32.45000076293945,32.34000015258789
2001-04-18,32.279998779296875,32.29999923706055
2001-04-19,31.719999313354492,32.15999984741211
2001-04-20,32.060001373291016,32.060001373291016
2001-04-23,32.90999984741211,32.5
2001-04-24,32.970001220703125,33.220001220703125
2001-04-25,33.439998626708984,33.0
2001-04-26,34.099998474121094,33.68000030517578
2001-04-27,33.869998931884766,34.040000915527344
2001-04-30,33.869998931884766,33.880001068115234
2001-05-01,33.650001525878906,33.58000183105469
2001-05-02,32.34000015258789,32.7400016784668
2001-05-03,32.18000030517578,32.0
2001-05-04,32.689998626708984,32.25
2001-05-07,32.779998779296875,32.97999954223633
2001-05-08,32.75,32.5099983215332
2001-05-09,33.33000183105469,32.779998779296875
2001-05-10,33.09000015258789,33.279998779296875
2001-05-11,32.77000045776367,33.04999923706055
2001-05-14,33.279998779296875,32.9900016784668
2001-05-15,33.58000183105469,33.68000030517578
2001-05-16,33.86000061035156,33.7599983215332
2001-05-17,33.970001220703125,33.84000015258789
2001-05-18,34.68000030517578,34.29999923706055
2001-05-21,34.599998474121094,34.900001525878906
2001-05-22,34.25,34.540000915527344
2001-05-23,33.72999954223633,33.900001525878906
2001-05-24,33.66999816894531,33.5
2001-05-25,33.380001068115234,33.70000076293945
2001-05-29,33.33000183105469,33.65999984741211
2001-05-30,33.20000076293945,33.41999816894531
2001-05-31,33.54999923706055,33.380001068115234
2001-06-01,33.400001525878906,33.5
2001-06-04,33.849998474121094,33.849998474121094
2001-06-05,33.95000076293945,33.849998474121094
2001-06-06,33.09000015258789,33.5
2001-06-07,32.70000076293945,33.029998779296875
2001-06-08,32.790000915527344,32.79999923706055
2001-06-11,32.880001068115234,33.20000076293945
2001-06-12,33.130001068115234,33.0
2001-06-13,32.970001220703125,33.5
2001-06-14,32.29999923706055,32.70000076293945
2001-06-15,32.38999938964844,32.5
2001-06-18,32.029998779296875,32.119998931884766
2001-06-19,32.0,32.099998474121094
2001-06-20,31.399999618530273,31.610000610351562
2001-06-21,30.93000030517578,31.600000381469727
2001-06-22,31.530000686645508,30.950000762939453
2001-06-25,31.15999984741211,31.399999618530273
2001-06-26,31.350000381469727,31.1200008392334
2001-06-27,30.600000381469727,31.0
2001-06-28,29.950000762939453,30.299999237060547
2001-06-29,30.350000381469727,30.100000381469727
2001-07-02,30.270000457763672,30.200000762939453
2001-07-03,30.229999542236328,30.100000381469727
2001-07-05,30.5,30.200000762939453
2001-07-06,30.389999389648438,30.559999465942383
2001-07-09,29.959999084472656,30.25
2001-07-10,30.0,30.110000610351562
2001-07-11,29.600000381469727,29.549999237060547
2001-07-12,29.559999465942383,29.399999618530273
2001-07-13,29.670000076293945,29.3700008392334
2001-07-16,29.18000030517578,29.75
2001-07-17,29.049999237060547,29.350000381469727
2001-07-18,28.739999771118164,28.6200008392334
2001-07-19,29.040000915527344,28.950000762939453
2001-07-20,29.65999984741211,29.5
2001-07-23,29.31999969482422,29.780000686645508
2001-07-24,28.270000457763672,29.149999618530273
2001-07-25,29.579999923706055,28.729999542236328
2001-07-26,30.18000030517578,29.8700008392334
2001-07-27,30.31999969482422,29.850000381469727
2001-07-30,30.350000381469727,30.3700008392334
2001-07-31,30.0,30.5
2001-08-01,29.889999389648438,30.350000381469727
2001-08-02,29.8700008392334,29.950000762939453
2001-08-03,29.420000076293945,29.790000915527344
2001-08-06,29.3799991607666,29.350000381469727
2001-08-07,29.3799991607666,29.5
2001-08-08,28.780000686645508,29.450000762939453
2001-08-09,28.950000762939453,28.5
2001-08-10,28.979999542236328,28.950000762939453
2001-08-13,29.1200008392334,29.100000381469727
2001-08-14,29.280000686645508,29.149999618530273
2001-08-15,29.719999313354492,29.25
2001-08-16,29.549999237060547,29.950000762939453
2001-08-17,29.329999923706055,29.579999923706055
2001-08-20,29.1200008392334,29.25
2001-08-21,29.100000381469727,29.049999237060547
2001-08-22,29.1200008392334,29.600000381469727
2001-08-23,29.3799991607666,29.280000686645508
2001-08-24,29.6200008392334,29.3799991607666
2001-08-27,29.579999923706055,29.600000381469727
2001-08-28,29.270000457763672,29.479999542236328
2001-08-29,29.149999618530273,29.399999618530273
2001-08-30,28.729999542236328,29.399999618530273
2001-08-31,28.729999542236328,28.65999984741211
2001-09-04,28.899999618530273,28.739999771118164
2001-09-05,29.0,28.799999237060547
2001-09-06,28.799999237060547,29.049999237060547
2001-09-07,28.780000686645508,28.75
2001-09-10,28.8700008392334,28.799999237060547
2001-09-17,28.280000686645508,28.5
2001-09-18,26.90999984741211,28.0
2001-09-19,25.940000534057617,26.75
2001-09-20,25.209999084472656,25.399999618530273
2001-09-21,25.079999923706055,24.299999237060547
2001-09-24,24.420000076293945,24.899999618530273
2001-09-25,24.149999618530273,24.200000762939453
2001-09-26,23.979999542236328,24.299999237060547
2001-09-27,24.93000030517578,24.25
2001-09-28,25.81999969482422,25.350000381469727
2001-10-01,25.459999084472656,25.600000381469727
2001-10-02,26.020000457763672,25.549999237060547
2001-10-03,26.3799991607666,25.899999618530273
2001-10-04,27.0,26.649999618530273
2001-10-05,27.200000762939453,27.049999237060547
2001-10-08,27.25,26.950000762939453
2001-10-09,27.299999237060547,27.299999237060547
2001-10-10,28.510000228881836,27.649999618530273
2001-10-11,28.5,28.700000762939453
2001-10-12,28.309999465942383,28.399999618530273
2001-10-15,27.790000915527344,28.190000534057617
2001-10-16,28.1200008392334,27.649999618530273
2001-10-17,27.979999542236328,28.350000381469727
2001-10-18,26.850000381469727,27.5
2001-10-19,26.950000762939453,26.649999618530273
2001-10-22,27.280000686645508,27.0
2001-10-23,27.18000030517578,26.899999618530273
2001-10-24,26.799999237060547,26.850000381469727
2001-10-25,27.479999542236328,26.649999618530273
2001-10-26,28.010000228881836,27.549999237060547
2001-10-29,27.75,28.0
2001-10-30,26.81999969482422,27.25
2001-10-31,26.860000610351562,27.0
2001-11-01,27.270000457763672,26.790000915527344
2001-11-02,26.530000686645508,26.799999237060547
2001-11-05,26.3700008392334,26.850000381469727
2001-11-06,26.209999084472656,26.200000762939453
2001-11-07,26.31999969482422,26.200000762939453
2001-11-08,26.829999923706055,26.850000381469727
2001-11-09,27.350000381469727,27.200000762939453
2001-11-12,27.280000686645508,27.0
2001-11-13,27.5,27.299999237060547
2001-11-14,26.15999984741211,26.700000762939453
2001-11-15,24.84000015258789,25.700000762939453
2001-11-16,25.299999237060547,24.860000610351562
2001-11-19,25.239999771118164,25.25
2001-11-20,26.170000076293945,25.899999618530273
2001-11-21,25.829999923706055,26.18000030517578
2001-11-23,26.06999969482422,25.5
2001-11-26,25.639999389648438,25.649999618530273
2001-11-27,25.65999984741211,25.5
2001-11-28,25.059999465942383,25.350000381469727
2001-11-29,25.489999771118164,25.25
2001-11-30,25.360000610351562,25.43000030517578
2001-12-03,25.700000762939453,25.229999542236328
2001-12-04,26.059999465942383,25.799999237060547
2001-12-05,26.600000381469727,26.600000381469727
2001-12-06,25.809999465942383,26.399999618530273
2001-12-07,25.979999542236328,25.799999237060547
2001-12-10,25.6200008392334,25.75
2001-12-11,25.200000762939453,25.600000381469727
2001-12-12,25.260000228881836,25.200000762939453
2001-12-13,24.850000381469727,24.90999984741211
2001-12-14,25.100000381469727,24.899999618530273
2001-12-17,25.040000915527344,25.100000381469727
2001-12-18,25.3700008392334,25.100000381469727
2001-12-19,25.950000762939453,25.3799991607666
2001-12-20,25.829999923706055,25.950000762939453
2001-12-21,25.899999618530273,26.100000381469727
2001-12-24,26.329999923706055,26.1200008392334
2001-12-26,26.790000915527344,26.350000381469727
2001-12-27,26.8799991607666,26.729999542236328
2001-12-28,27.0,26.950000762939453
2001-12-31,26.700000762939453,27.049999237060547
2002-01-02,26.5,26.700000762939453
2002-01-03,26.34000015258789,26.559999465942383
2002-01-04,26.459999084472656,26.600000381469727
2002-01-07,26.450000762939453,26.649999618530273
2002-01-08,26.219999313354492,26.549999237060547
2002-01-09,26.25,26.200000762939453
2002-01-10,26.049999237060547,26.030000686645508
2002-01-11,25.549999237060547,26.09000015258789
2002-01-14,25.239999771118164,25.200000762939453
2002-01-15,25.649999618530273,25.649999618530273
2002-01-16,25.1200008392334,25.5
2002-01-17,25.110000610351562,25.260000228881836
